trip_distance,fare_amount,passenger_count,total_amount
3.7,18.4,1.0,29.0
1.03,8.6,1.0,18.65
1.57,10.0,1.0,15.75
9.48,40.8,1.0,71.94
1.8,10.0,1.0,17.25
5.11,22.6,1.0,37.87
1.5,11.4,0.0,20.45
0.99,7.9,2.0,16.38
0.47,5.1,1.0,10.85
1.09,8.6,1.0,17.22
1.33,8.6,1.0,17.22
4.71,21.2,1.0,32.34
0.93,6.5,1.0,14.7
0.6,6.5,2.0,14.7
1.1,6.5,2.0,13.8
5.01,19.8,1.0,31.94
5.72,22.6,1.0,34.02
2.31,12.8,1.0,22.26
2.25,12.1,1.0,19.35
1.4,10.0,1.0,18.9
0.52,6.5,1.0,12.65
4.11,23.3,1.0,29.05
1.9,12.1,1.0,21.4
0.5,5.1,1.0,10.85
1.6,9.3,1.0,15.05
6.0,29.6,1.0,35.35
5.76,26.8,2.0,32.75
13.37,70.0,2.0,102.11
0.5,4.4,1.0,11.4
1.4,7.9,1.0,13.65
1.9,9.3,1.0,18.05
0.6,5.1,1.0,13.0
2.84,14.2,3.0,23.94
0.88,5.8,1.0,13.86
1.94,12.8,1.0,18.55
10.3,43.6,1.0,61.65
1.56,9.3,1.0,18.06
1.46,8.6,1.0,17.07
0.44,4.4,1.0,10.15
2.81,17.0,4.0,22.75
1.36,10.7,1.0,17.45
4.9,22.6,1.0,33.35
1.45,9.3,2.0,18.06
12.77,49.9,2.0,69.34
2.18,-12.1,1.0,-17.85
2.18,12.1,1.0,17.85
1.04,8.6,1.0,18.35
0.78,6.5,1.0,12.25
9.53,38.7,3.0,57.54
1.89,12.8,1.0,22.26
1.0,7.9,1.0,16.35
1.2,8.6,1.0,17.35
3.72,-17.7,1.0,-23.45
3.72,17.7,1.0,23.45
16.51,66.0,1.0,85.62
1.9,12.1,1.0,21.42
6.43,33.8,1.0,47.31
1.73,14.2,1.0,23.94
2.1,11.4,2.0,17.15
1.6,9.3,2.0,15.05
7.2,35.9,1.0,55.65
5.58,26.1,1.0,38.22
2.3,12.8,1.0,22.25
2.1,12.8,1.0,18.55
2.8,13.5,1.0,23.1
3.15,19.1,1.0,29.82
1.1,8.6,1.0,17.94
1.29,7.9,1.0,16.38
6.7,26.1,1.0,39.35
2.05,10.7,1.0,19.74
12.21,56.9,1.0,68.65
14.4,54.8,1.0,79.68
4.0,22.6,1.0,35.44
2.68,14.2,1.0,23.94
2.44,14.2,2.0,23.94
1.39,8.6,1.0,17.22
1.7,10.7,1.0,19.75
1.6,10.0,1.0,17.75
3.21,18.4,1.0,28.98
2.67,13.5,1.0,23.1
0.81,5.8,1.0,13.28
3.67,16.3,2.0,26.46
2.36,14.2,2.0,23.94
1.87,9.3,2.0,19.56
1.8,11.4,1.0,20.6
1.65,10.7,1.0,17.45
3.78,16.3,1.0,22.05
